#Center frequency;5;
#Sampling freq.;20;
#Samples;64;
#Reference amplitude;100;
#
#Time(s);Amplitude(dB);Amplitude(val);
0;-8.4708E1;-5.8155E-3;
0.05;NaN;0E0;
0.1;-7.2223E1;-2.4481E-2;
0.15;NaN;0E0;
0.2;-8.4353E1;6.058E-3;
0.25;NaN;0E0;
0.3;-6.1743E1;8.1816E-2;
0.35;NaN;0E0;
0.4;-8.3258E1;-6.8724E-3;
0.45;NaN;0E0;
0.5;-5.5337E1;-1.7105E-1;
0.55;NaN;0E0;
0.6;-8.1314E1;8.596E-3;
0.65;NaN;0E0;
0.7;-4.9187E1;3.4724E-1;
0.75;NaN;0E0;
0.8;-7.8284E1;-1.2185E-2;
0.85;NaN;0E0;
0.9;-4.2031E1;-7.9154E-1;
0.95;NaN;0E0;
1;-7.3619E1;2.0847E-2;
1.05;NaN;0E0;
1.1;-3.2381E1;2.4042E0;
1.15;NaN;0E0;
1.2;-6.566E1;-5.2119E-2;
1.25;NaN;0E0;
1.3;-1.5466E1;-1.6854E1;
1.35;NaN;0E0;
1.4;-6.0399E0;4.9889E1;
1.45;NaN;0E0;
1.5;-1.4277E0;-8.4843E1;
1.55;NaN;0E0;
1.6;0E0;1E2;
1.65;NaN;0E0;
1.7;-1.4277E0;-8.4843E1;
1.75;NaN;0E0;
1.8;-6.0399E0;4.9889E1;
1.85;NaN;0E0;
1.9;-1.5466E1;-1.6854E1;
1.95;NaN;0E0;
2;-6.566E1;-5.2119E-2;
2.05;NaN;0E0;
2.1;-3.2381E1;2.4042E0;
2.15;NaN;0E0;
2.2;-7.3619E1;2.0847E-2;
2.25;NaN;0E0;
2.3;-4.2031E1;-7.9154E-1;
2.35;NaN;0E0;
2.4;-7.8284E1;-1.2185E-2;
2.45;NaN;0E0;
2.5;-4.9187E1;3.4724E-1;
2.55;NaN;0E0;
2.6;-8.1314E1;8.596E-3;
2.65;NaN;0E0;
2.7;-5.5337E1;-1.7105E-1;
2.75;NaN;0E0;
2.8;-8.3258E1;-6.8724E-3;
2.85;NaN;0E0;
2.9;-6.1743E1;8.1816E-2;
2.95;NaN;0E0;
3;-8.4353E1;6.058E-3;
3.05;NaN;0E0;
3.1;-7.2223E1;-2.4481E-2;
3.15;NaN;0E0;
