Center frequency;5;
Sampling freq.;160;
Samples;512;
Reference amplitude;100;

Time(µs);Amplitude(dB);Amplitude(val);
0;-8.4708E1;-5.8155E-3;
0.0062;-8.5143E1;-5.5314E-3;
0.0125;-8.651E1;-4.726E-3;
0.0188;-8.9032E1;-3.535E-3;
0.025;-9.3287E1;-2.1659E-3;
0.0312;-1.0118E2;-8.7249E-4;
0.0375;-1.2231E2;7.664E-5;
0.0438;-1.0728E2;4.3272E-4;
0.05;NaN;0E0;
0.0562;-9.7484E1;-1.3359E-3;
0.0625;-8.8903E1;-3.588E-3;
0.0688;-8.3532E1;-6.6588E-3;
0.075;-7.9707E1;-1.0343E-2;
0.0812;-7.6868E1;-1.4342E-2;
0.0875;-7.4754E1;-1.8294E-2;
0.0938;-7.323E1;-2.1802E-2;
0.1;-7.2223E1;-2.4481E-2;
0.1063;-7.1701E1;-2.5998E-2;
0.1125;-7.1665E1;-2.6106E-2;
0.1188;-7.2152E1;-2.4682E-2;
0.125;-7.3255E1;-2.1741E-2;
0.1312;-7.5166E1;-1.7446E-2;
0.1375;-7.8345E1;-1.2099E-2;
0.1438;-8.4268E1;-6.1181E-3;
0.15;NaN;0E0;
0.1562;-8.4844E1;5.7251E-3;
0.1625;-7.9538E1;1.0546E-2;
0.1688;-7.7063E1;1.4023E-2;
0.175;-7.6007E1;1.5836E-2;
0.1813;-7.6012E1;1.5826E-2;
0.1875;-7.7066E1;1.4018E-2;
0.1938;-7.947E1;1.0629E-2;
0.2;-8.4353E1;6.058E-3;
0.2063;-1.0132E2;8.5857E-4;
0.2125;-8.7311E1;-4.3095E-3;
0.2188;-8.1172E1;-8.738E-3;
0.225;-7.8609E1;-1.1737E-2;
0.2312;-7.792E1;-1.2706E-2;
0.2375;-7.902E1;-1.1195E-2;
0.2438;-8.3149E1;-6.9594E-3;
0.25;NaN;0E0;
0.2563;-8.0514E1;9.425E-3;
0.2625;-7.3637E1;2.0805E-2;
0.2688;-6.9523E1;3.341E-2;
0.275;-6.6681E1;4.6341E-2;
0.2812;-6.4641E1;5.8604E-2;
0.2875;-6.3199E1;6.9195E-2;
0.2938;-6.2249E1;7.7186E-2;
0.3;-6.1743E1;8.1816E-2;
0.3062;-6.1664E1;8.2562E-2;
0.3125;-6.2026E1;7.92E-2;
0.3188;-6.2873E1;7.1837E-2;
0.325;-6.4305E1;6.0915E-2;
0.3313;-6.6524E1;4.7187E-2;
0.3375;-6.999E1;3.1658E-2;
0.3438;-7.6187E1;1.5511E-2;
0.35;NaN;0E0;
0.3562;-7.7295E1;-1.3654E-2;
0.3625;-7.226E1;-2.4377E-2;
0.3688;-7.0076E1;-3.1349E-2;
0.375;-6.935E1;-3.4081E-2;
0.3813;-6.9768E1;-3.248E-2;
0.3875;-7.1416E1;-2.6867E-2;
0.3938;-7.4908E1;-1.7971E-2;
0.4;-8.3258E1;-6.8724E-3;
0.4062;-8.5885E1;5.0789E-3;
0.4125;-7.5716E1;1.6376E-2;
0.4188;-7.1873E1;2.5489E-2;
0.425;-7.0172E1;3.1003E-2;
0.4312;-6.9962E1;3.176E-2;
0.4375;-7.1382E1;2.6972E-2;
0.4438;-7.5746E1;1.6319E-2;
0.45;NaN;0E0;
0.4563;-7.3451E1;-2.1255E-2;
0.4625;-6.6703E1;-4.6222E-2;
0.4688;-6.2702E1;-7.3264E-2;
0.475;-5.9961E1;-1.0045E-1;
0.4812;-5.8011E1;-1.2573E-1;
0.4875;-5.665E1;-1.4707E-1;
0.4938;-5.5775E1;-1.6265E-1;
0.5;-5.5337E1;-1.7105E-1;
0.5062;-5.5323E1;-1.7134E-1;
0.5125;-5.5744E1;-1.6324E-1;
0.5188;-5.6648E1;-1.471E-1;
0.525;-5.8135E1;-1.2396E-1;
0.5312;-6.0405E1;-9.5443E-2;
0.5375;-6.3923E1;-6.3655E-2;
0.5438;-7.0172E1;-3.1002E-2;
0.55;NaN;0E0;
0.5562;-7.139E1;2.6946E-2;
0.5625;-6.6419E1;4.7759E-2;
0.5688;-6.431E1;6.0886E-2;
0.575;-6.3681E1;6.5458E-2;
0.5812;-6.4238E1;6.1391E-2;
0.5875;-6.6121E1;4.9425E-2;
0.5938;-7.0148E1;3.1089E-2;
0.6;-8.1314E1;8.596E-3;
0.6063;-7.629E1;-1.5329E-2;
