#Center frequency;2;
#Sampling freq.;60;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
0;0E0;-1E2;
0.0167;-1.9041E-1;-9.7832E1;
0.0333;-7.7908E-1;-9.1421E1;
0.05;-1.8254E0;-8.1046E1;
0.0667;-3.4583E0;-6.7156E1;
0.0833;-5.9593E0;-5.0354E1;
0.1;-1.007E1;-3.1368E1;
0.1167;-1.9155E1;-1.1022E1;
0.1333;-2.0174E1;9.8017E0;
0.15;-1.04E1;3.0201E1;
0.1667;-6.1449E0;4.929E1;
0.1833;-3.5774E0;6.6242E1;
0.2;-1.9034E0;8.0321E1;
0.2167;-8.2712E-1;9.0917E1;
0.2333;-2.1365E-1;9.757E1;
0.25;-6.5409E-4;9.9992E1;
0.2667;-1.6852E-1;9.8079E1;
0.2833;-7.3261E-1;9.1911E1;
0.3;-1.7493E0;8.1758E1;
0.3167;-3.3421E0;6.806E1;
0.3333;-5.779E0;5.141E1;
0.35;-9.754E0;3.2531E1;
0.3667;-1.8244E1;1.2241E1;
0.3833;-2.1331E1;-8.5797E0;
0.4;-1.0744E1;-2.9028E1;
0.4167;-6.3357E0;-4.8218E1;
0.4333;-3.6994E0;-6.5317E1;
0.45;-1.9835E0;-7.9584E1;
0.4667;-8.7673E-1;-9.0399E1;
0.4833;-2.3828E-1;-9.7294E1;
0.5;-2.6167E-3;-9.997E1;
0.5167;-1.48E-1;-9.8311E1;
0.5333;-6.8769E-1;-9.2388E1;
0.55;-1.6752E0;-8.2459E1;
0.5667;-3.2288E0;-6.8954E1;
0.5833;-5.6036E0;-5.2459E1;
0.6;-9.4502E0;-3.3689E1;
0.6167;-1.742E1;-1.3458E1;
0.6333;-2.2667E1;7.3565E0;
0.65;-1.1103E1;2.7852E1;
0.6667;-6.5323E0;4.714E1;
0.6833;-3.8246E0;6.4383E1;
0.7;-2.0657E0;7.8835E1;
0.7167;-9.2795E-1;8.9867E1;
0.7333;-2.6429E-1;9.7003E1;
0.75;-5.8879E-3;9.9932E1;
0.7667;-1.2883E-1;9.8528E1;
0.7833;-6.443E-1;9.2851E1;
0.8;-1.6031E0;8.3147E1;
0.8167;-3.1182E0;6.9838E1;
0.8333;-5.433E0;5.35E1;
0.85;-9.158E0;3.4842E1;
0.8667;-1.667E1;1.4673E1;
0.8833;-2.4248E1;-6.1321E0;
0.9;-1.1479E1;-2.6671E1;
0.9167;-6.7347E0;-4.6054E1;
0.9333;-3.9528E0;-6.3439E1;
0.95;-2.1499E0;-7.8074E1;
0.9667;-9.8079E-1;-8.9322E1;
0.9833;-2.9168E-1;-9.6698E1;
1;-1.0469E-2;-9.988E1;
1.0167;-1.11E-1;-9.873E1;
1.0333;-6.0243E-1;-9.3299E1;
1.05;-1.5328E0;-8.3822E1;
1.0667;-3.0103E0;-7.0711E1;
1.0833;-5.2669E0;-5.4532E1;
1.1;-8.8765E0;-3.599E1;
1.1167;-1.598E1;-1.5886E1;
1.1333;-2.6184E1;4.9068E0;
1.15;-1.1874E1;2.5487E1;
