#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
0;-6.7151E1;4.39E-2;
0.0143;-6.7051E1;4.4408E-2;
0.0286;-6.6766E1;4.5889E-2;
0.0429;-6.6337E1;4.8209E-2;
0.0571;-6.5821E1;5.1161E-2;
0.0714;-6.5276E1;5.4475E-2;
0.0857;-6.4756E1;5.7838E-2;
0.1;-6.4305E1;6.092E-2;
0.1143;-6.3958E1;6.3398E-2;
0.1286;-6.3745E1;6.4979E-2;
0.1429;-6.3685E1;6.5426E-2;
0.1571;-6.3799E1;6.4574E-2;
0.1714;-6.4103E1;6.2348E-2;
0.1857;-6.4617E1;5.8768E-2;
0.2;-6.536E1;5.395E-2;
0.2143;-6.6357E1;4.8101E-2;
0.2286;-6.7638E1;4.1505E-2;
0.2429;-6.9243E1;3.4502E-2;
0.2571;-7.1225E1;2.7463E-2;
0.2714;-7.3653E1;2.0766E-2;
0.2857;-7.662E1;1.4758E-2;
0.3;-8.0233E1;9.7355E-3;
0.3143;-8.4561E1;5.9149E-3;
0.3286;-8.9336E1;3.4136E-3;
0.3429;-9.3003E1;2.2381E-3;
0.3571;-9.284E1;2.2804E-3;
0.3714;-8.9568E1;3.3235E-3;
0.3857;-8.5924E1;5.056E-3;
0.4;-8.2981E1;7.0954E-3;
0.4143;-8.0898E1;9.0175E-3;
0.4286;-7.9666E1;1.0392E-2;
0.4429;-7.9317E1;1.0818E-2;
0.4571;-8.0035E1;9.9593E-3;
0.4714;-8.2409E1;7.5783E-3;
0.4857;-8.8977E1;3.5574E-3;
0.5;-9.3623E1;-2.0838E-3;
0.5143;-8.0739E1;-9.1845E-3;
0.5286;-7.5164E1;-1.7451E-2;
0.5429;-7.1543E1;-2.6475E-2;
0.5571;-6.8931E1;-3.5764E-2;
0.5714;-6.6978E1;-4.478E-2;
0.5857;-6.5517E1;-5.2985E-2;
0.6;-6.4454E1;-5.9883E-2;
0.6143;-6.3733E1;-6.5069E-2;
0.6286;-6.3316E1;-6.8263E-2;
0.6429;-6.318E1;-6.9343E-2;
0.6571;-6.3305E1;-6.8355E-2;
0.6714;-6.3672E1;-6.5523E-2;
0.6857;-6.4261E1;-6.1228E-2;
0.7;-6.5038E1;-5.5986E-2;
0.7143;-6.5951E1;-5.0402E-2;
0.7286;-6.6912E1;-4.5124E-2;
0.7429;-6.779E1;-4.0783E-2;
0.7571;-6.8419E1;-3.7937E-2;
0.7714;-6.8631E1;-3.702E-2;
0.7857;-6.8337E1;-3.8294E-2;
0.8;-6.7572E1;-4.1822E-2;
0.8143;-6.6475E1;-4.7451E-2;
0.8286;-6.5222E1;-5.4818E-2;
0.8429;-6.3962E1;-6.3375E-2;
0.8571;-6.2802E1;-7.243E-2;
0.8714;-6.1809E1;-8.1202E-2;
0.8857;-6.1023E1;-8.8886E-2;
0.9;-6.047E1;-9.4731E-2;
0.9143;-6.0167E1;-9.81E-2;
0.9286;-6.0128E1;-9.8543E-2;
0.9429;-6.037E1;-9.5833E-2;
0.9571;-6.0915E1;-9.0006E-2;
0.9714;-6.1792E1;-8.1361E-2;
0.9857;-6.3043E1;-7.0449E-2;
1;-6.4727E1;-5.8026E-2;
1.0143;-6.6936E1;-4.5001E-2;
1.0286;-6.9802E1;-3.2353E-2;
1.0429;-7.3536E1;-2.1048E-2;
1.0571;-7.8452E1;-1.195E-2;
1.0714;-8.4821E1;-5.7406E-3;
1.0857;-9.0918E1;-2.8452E-3;
1.1;-8.9399E1;-3.3888E-3;
1.1143;-8.2889E1;-7.1709E-3;
1.1286;-7.7284E1;-1.3671E-2;
1.1429;-7.3118E1;-2.2085E-2;
1.1571;-7.0065E1;-3.1387E-2;
1.1714;-6.7869E1;-4.0414E-2;
1.1857;-6.6381E1;-4.797E-2;
1.2;-6.5526E1;-5.2932E-2;
1.2143;-6.5294E1;-5.4361E-2;
1.2286;-6.5749E1;-5.159E-2;
1.2429;-6.7071E1;-4.4306E-2;
1.2571;-6.974E1;-3.2585E-2;
1.2714;-7.5437E1;-1.691E-2;
1.2857;-9.4605E1;1.8611E-3;
1.3;-7.2936E1;2.2554E-2;
1.3143;-6.7176E1;4.3774E-2;
1.3286;-6.3873E1;6.4024E-2;
1.3429;-6.1741E1;8.1837E-2;
1.3571;-6.0363E1;9.5909E-2;
1.3714;-5.9557E1;1.0523E-1;
1.3857;-5.9237E1;1.0918E-1;
1.4;-5.9363E1;1.0761E-1;
1.4143;-5.9923E1;1.0088E-1;
1.4286;-6.0932E1;8.983E-2;
1.4429;-6.2416E1;7.572E-2;
